Service / Report,Department,Category,Sub-Category,Description Box Template Format
Request,CHE,Hospicash Request,Claim Request Submission,"Clinic Name*
Your Name*
Official Email Address *
Phone Number*
Clinic Phone Number
COM*
Patient Name*
Patient Mobile Number*
Patient ID*
Patient Aadhaar/Pan Card Number
Attachment of documents -
1. Duly filled signed Claim form with signature of member (Please note there are different claim forms for CARE & Magma) Care is Membership 3.0 and Magma is Membership 2.0
2. Cancelled Cheque in the name of proposer/member – Member name should be printed on Cheque, Alternatively /bank passbook first page can be shared
3. Detailed Discharge Summary - Date & Time of admission and discharge, final diagnosis, past histor, treatment given etc should ideally be mentioned, If the same is not given in the discharge summary please arrange for the same from the clinic/hospital.
4. KYC details - Aadhar/PAN card
5. Hospicash policy document and policy number.
6. Treating doctor certificate for detailed case history with progression, duration and past history of the present ailment ( If required, this will be asked by Bima Team)
7. Final Hospital Bill (If required, this will be asked by Bima Team)"
Request,CHE,Pharmacy Related Request,Bill Deletion Pharmacy Order (Partial),"Clinic Name*
Your Name*
Official Email Address *
Phone Number*
Clinic Phone Number
COM*
Deletion Type Partial* (Yes/No)
Service: Medicines (Yes/No)
Patient Name*
Patient Mobile Number*
Patient ID*
Name of the Product to be removed
Date of Transaction
Transaction Id
Total Amount
Discount Applicable
Net Amount Received
Mode of Payment
Deletion Reason*
Transaction Screenshot"
Request,CHE,Pharmacy Related Request,Bill Deletion Pharmacy Order (Full),"Clinic Name*
Your Name*
Official Email Address *
Phone Number*
Clinic Phone Number
COM*
Deletion Type Full* (Yes/No)
Service: Medicines (Yes/No)
Patient Name*
Patient Mobile Number*
Patient ID*
Name of the Product to be removed
Date of Transaction
Transaction Id
Total Amount
Discount Applicable
Net Amount Received
Mode of Payment
Deletion Reason*
Transaction Screenshot"
Request,CHE,Doctor Related Request,Bill deletion - Doctor Consultation,"Clinic Name
Your Name
Official Email Address
Phone Number
Clinic Phone Number
COM
Service: Consultation (Yes/No) -
Patient Name
Patient Mobile Number
Patient ID
Date of Booking
Date of Consultation Scheduled
Transaction Id
Total Amount
Discount Applicable
Net Amount Received
Mode of Payment
Deletion Reason
Attachment of Transaction (Yes/No)"
Request,CHE,Lab Related Request,Bill Deletion - Lab package (Full),"Clinic Name
Your Name
Official Email Address
Phone Number
Clinic Phone Number
COM
Deletion Type Full* (Yes/No)
Service: Lab Package (Yes/No) -
Patient Name
Patient Mobile Number
Patient ID
Date of Booking
Date of Consultation Scheduled
Transaction Id
Total Amount
Discount Applicable
Net Amount Received
Mode of Payment
Deletion Reason
Attachment of Transaction (Yes/No)"
Request,CHE,Lab Related Request,Bill Deletion - Lab package (Partial),"Clinic Name
Your Name
Official Email Address
Phone Number
Clinic Phone Number
COM
Deletion Type Partial* (Yes/No)
Service: Lab Package (Yes/No) -
Patient Name
Patient Mobile Number
Patient ID
Date of Booking
Date of Consultation Scheduled
Transaction Id
Total Amount
Discount Applicable
Net Amount Received
Mode of Payment
Deletion Reason
Attachment of Transaction (Yes/No)"
Report an issue,Infrastructure ,Infrastructure Related Issue,Aquaguard Related issue,"Clinic Name*
Your Name*
Official Email Address *
Phone Number*
Clinic Phone Number
COM*
Start Date of Issue:*
Brand Name:*
Issue Description:*
Complete Clinic Address with PIN CODE:
Googe Map Location Link for the Clinic Address:
Video of Issue Attached?* (Yes/No)"
Report an issue,CHE,Concierge Related Issue,Concierge Billing Issue,"Clinic Name*
Your Name*
Official Email Address *
Phone Number*
Clinic Phone Number
COM*
SM Name
SM Number
SM Email
Attachment of Bill Not Showing Attached (Yes/No)"
Request,CHE,Concierge Request,Pathology Test for Patient (Concierge Service),"Clinic Name*
Your Name*
Official Email Address *
Phone Number*
Clinic Phone Number
COM*
Preferred Date
Preferred Time
Patient Name
Patient Mobile Number
Patient ID
Test Name
Payment Mode
Test Price
Discount %
Discount Amount (Rs) 
Net Payble Amount (Rs)"
Report an issue,CHE,Doctor Related Issue,Doctor slot not showing,"Clinic Name*
Your Name*
Official Email Address *
Phone Number*
Clinic Phone Number
COM*
Doctor Name
Patient Name
Patient ID
Patient Phone Number
Photo of Doctor Slot Not Showing Attached (Yes/No)"
Request,CHE,Concierge Request,Radiology Test for Patient (Concierge Service),"Clinic Name*
Your Name*
Official Email Address *
Phone Number*
Clinic Phone Number
COM*
Preferred Date
Preferred Time
Patient Name
Patient Mobile Number
Patient ID
Test Name
Payment Mode
Test Price
Discount Allowed 
Net Payble Amount
Billing Status
Description"
Request,CHE,Doctor Related Request,Inventory Doctor Booking,"Clinic Name*
Your Name*
Official Email Address *
Phone Number*
Clinic Phone Number
COM*
Patient Name*
Patient Mobile Number*
Patient ID*
Doctor Name*
Date*
Time*
Speciality*
Patient Chief Complain*
Description"
Request,CHE,Doctor Related Request,Doctor Slot Creation - Clinic,"Clinic Name*
Your Name*
Official Email Address *
Phone Number*
Clinic Phone Number
COM*
Patient Name*
Patient Mobile Number*
Patient ID*
Doctor Name*
Date*
Time*
Speciality*
Patient Chief Complain*
Slot Creation Date
Slot Creation Time
Description"
Report an issue,CHE,Doctor Related Issue,Join call button not showing,"Clinic Name*
Your Name*
Official Email Address *
Phone Number*
Clinic Phone Number
COM*
Patient Name*
Patient Mobile Number*
Patient ID*
Doctor Name*
Consultation Scheduled Date*
Consultation Scheduled Time*
Consultation Type (Video, Quick, Inperson)
Description
Video of Error Attached (Yes/No)"
Report an issue,CHE,Doctor Related Issue,Join pre-consultation button not showing,"Clinic Name*
Your Name*
Official Email Address *
Phone Number*
Clinic Phone Number
COM*
Patient Name*
Patient Mobile Number*
Patient ID*
Doctor Name*
Consultation Date*
Consultation Time*
Consultation Type:- (Video, Quick, Inperson)
Description
Video of Error Attached (Yes/No)"
Report an issue,CHE,Doctor Related Issue,Consultation fee showing for membership patient (only for empanelled doctor),"
Your Name*
Official Email Address *
Phone Number*
Clinic Phone Number
COM*
Doctor Name
Patient Name
Patient ID
Patient Phone Number
Membership Card (Wellness, Primce, DCP)
Fee Amount Showing
Video of Fee Amount Showing Attahced (Yes/No)"
Report an issue,CHE,Pharmacy Related Issue,Mismatch in medicine price,"Clinic Name*
Your Name*
Official Email Address *
Phone Number*
Clinic Phone Number
COM*
Patient Name
Patient Id
Patient Phone Number
Medicine Name
Original Price
Price Shared
Difference
Description
Photo of Price Mismatch Attached (Yes/No)"
Report an issue,CHE,Pharmacy Related Issue,Delay in medicine order,"Clinic Name*
Your Name*
Official Email Address *
Phone Number*
Clinic Phone Number
COM*
Patient Name
Patient Id
Patient Phone Number
Payment Mode (Cash, Digital)
Date of Order
Transaction ID
Description
Photo of Medicne Order Detail Attached (Yes/No)"
Report an issue,CHE,Pharmacy Related Issue,Medicine not reflecting in cart,"Clinic Name*
Your Name*
Official Email Address *
Phone Number*
Clinic Phone Number
COM*
Patient Name
Patient Number
Patient Id
Medicine Name and Quantity
Photo of Medicine Ordered attached (Yes/No)
Description
Photo of Cart Attached (Yes/No)"
